customer_id,customer_name,email,phone,sales_amount,profit_margin,customer_satisfaction,order_count,region,product_category,sales_rep,order_date,revenue,ssn,credit_card
1,Customer_1,customer1@company.com,555-001-0002,1698.685661204493,0.2786229888278627,3.24334340472338,7,South,Clothing,Diana,2024-01-01,11637.261323559796,389-91-8927,4673-6788-1201-7160
2,Customer_2,customer2@company.com,555-002-0004,1444.694279531526,0.2948627621094588,3.8403749862277365,6,South,Books,Alice,2024-01-02,7589.9929578019455,453-84-8016,4421-1517-8737-2988
3,Customer_3,customer3@company.com,555-003-0006,1759.075415240277,0.3366440994540222,4.20314621983091,3,North,Home,Diana,2024-01-03,11175.859485468784,815-58-8758,4181-4802-6808-8162
4,Customer_4,customer4@company.com,555-004-0008,2109.21194256321,0.33430416416279224,4.228188356258846,9,South,Home,Diana,2024-01-04,12171.187352816343,540-35-2809,4486-7241-9399-6633
5,Customer_5,customer5@company.com,555-005-0010,1406.3386501106656,0.1397864505634327,3.929960717112454,7,North,Electronics,Alice,2024-01-05,10386.791566323482,195-95-7352,4735-7309-5117-9345
6,Customer_6,customer6@company.com,555-006-0012,1406.3452172203279,0.17497399680679016,4.573709959408499,5,East,Books,Charlie,2024-01-06,8362.766640790847,442-97-7056,4538-2518-7163-3600
7,Customer_7,customer7@company.com,555-007-0014,2131.685126202957,0.2912028213766928,3.5594277423704437,2,North,Clothing,Diana,2024-01-07,11839.49522865598,489-78-6951,4247-4554-3849-2742
8,Customer_8,customer8@company.com,555-008-0016,1806.9738916611636,0.2911028760729767,4.114572308987224,6,East,Home,Bob,2024-01-08,10227.83925620154,256-37-8818,4382-4849-8519-5195
9,Customer_9,customer9@company.com,555-009-0018,1312.210245626019,0.2912038149044838,4.27217737902714,3,North,Home,Alice,2024-01-09,6651.111472344608,732-74-6738,4158-3555-3305-8619
10,Customer_10,customer10@company.com,555-010-0020,1717.0240174343858,0.5582185192523776,4.508663300435249,6,East,Clothing,Eve,2024-01-10,8207.62107536668,758-18-6793,4164-3642-7409-5757
11,Customer_11,customer11@company.com,555-011-0022,1314.632922875015,0.2956712408554534,4.626968926853334,2,South,Books,Charlie,2024-01-11,8947.410937546052,527-77-3224,4659-2271-2813-9801
12,Customer_12,customer12@company.com,555-012-0024,1313.7080985718972,0.3408452512144479,3.5252147448972786,3,East,Electronics,Alice,2024-01-12,13011.636575279314,297-65-7091,4513-5120-7124-9475
13,Customer_13,customer13@company.com,555-013-0026,1596.7849086264137,0.32632014107945617,3.2795314975586267,5,South,Electronics,Eve,2024-01-13,12660.366172612428,790-46-9662,4548-5396-1816-8304
14,Customer_14,customer14@company.com,555-014-0028,734.6879021368809,0.30211130010446385,4.966606093139106,3,South,Home,Eve,2024-01-14,12653.937062113351,317-38-8094,4263-1082-2920-8817
15,Customer_15,customer15@company.com,555-015-0030,810.0328669947869,0.22477846042877236,4.399388407187756,4,East,Clothing,Diana,2024-01-15,10464.720555367732,274-32-4796,4519-3093-8071-8967
16,Customer_16,customer16@company.com,555-016-0032,1275.084988303611,0.3107175376394614,3.750908078066068,5,North,Home,Diana,2024-01-16,11827.189583558398,334-22-4607,4361-9367-6285-5937
17,Customer_17,customer17@company.com,555-017-0034,1094.8675518662305,0.18817398283699427,5.0,6,North,Clothing,Diana,2024-01-17,7718.4411826282185,975-20-6904,4469-2818-3101-4490
18,Customer_18,customer18@company.com,555-018-0036,1625.6989330381095,0.23105451146079928,4.269404780575716,3,West,Electronics,Alice,2024-01-18,10013.606196785542,551-56-5888,4855-8674-2364-8294
19,Customer_19,customer19@company.com,555-019-0038,1136.7903697915156,0.21117091617367173,4.907578310438296,3,North,Books,Alice,2024-01-19,10903.265403299192,705-82-8122,4508-4676-3426-9264
20,Customer_20,customer20@company.com,555-020-0040,935.0785194658835,0.2565499311509058,4.240511088846065,4,West,Clothing,Charlie,2024-01-20,7850.20188538176,822-21-2316,4347-1859-5138-3424
21,Customer_21,customer21@company.com,555-021-0042,2086.2595075686218,0.4351726853338807,5.0,5,North,Electronics,Diana,2024-01-21,10419.82417928374,909-26-2124,4140-5017-9560-9342
22,Customer_22,customer22@company.com,555-022-0044,1409.6894798053856,0.10061878459266016,5.0,4,North,Home,Eve,2024-01-22,13373.278371608689,601-57-3587,4210-6166-6119-6694
23,Customer_23,customer23@company.com,555-023-0046,1527.0112818751695,0.3049008152299611,4.050621510912556,2,South,Clothing,Bob,2024-01-23,11117.539569121254,652-56-2519,4836-7136-6485-5164
24,Customer_24,customer24@company.com,555-024-0048,930.1007255146172,0.12098273030482787,4.782942570572613,6,West,Books,Charlie,2024-01-24,11835.090413328242,757-87-9418,4398-6039-5897-9252
25,Customer_25,customer25@company.com,555-025-0050,1282.246910189927,0.2122454507368453,4.587225569751089,6,North,Home,Alice,2024-01-25,5095.186153135475,335-80-5072,4929-2337-2184-5426
26,Customer_26,customer26@company.com,555-026-0052,1544.3690358839465,0.3371160477573893,5.0,8,West,Home,Charlie,2024-01-26,13115.937698305848,112-91-9588,4627-2629-2526-2361
27,Customer_27,customer27@company.com,555-027-0054,1039.602569031079,0.255142401527637,3.6210459236519377,1,South,Electronics,Charlie,2024-01-27,9627.75530449566,199-40-5424,4649-5370-6283-8610
28,Customer_28,customer28@company.com,555-028-0056,1650.2792073382689,0.1637804177656555,4.611630875999063,6,South,Clothing,Charlie,2024-01-28,8462.627371859915,265-84-4893,4418-2993-1869-2014
29,Customer_29,customer29@company.com,555-029-0058,1259.744524032478,0.19277570325920254,4.835054692109753,2,West,Home,Charlie,2024-01-29,9650.72429638014,199-96-2772,4987-1602-1690-9685
30,Customer_30,customer30@company.com,555-030-0060,1383.3225000826892,0.3043678199147741,3.144756308146132,5,South,Books,Bob,2024-01-30,7029.955683438204,261-18-2751,4589-7864-8240-8786
31,Customer_31,customer31@company.com,555-031-0062,1259.3173551082411,0.19157066946262907,3.490044892400535,2,East,Clothing,Diana,2024-01-31,12095.884123504286,875-16-8170,4956-1294-6488-5027
32,Customer_32,customer32@company.com,555-032-0064,2240.911273803575,0.267316687166558,2.97646069334394,6,East,Books,Eve,2024-02-01,9329.208554452414,127-79-4220,4895-3912-5744-2873
33,Customer_33,customer33@company.com,555-033-0066,1494.6011101048264,0.2536457471923051,4.038355899333266,4,South,Home,Charlie,2024-02-02,8522.738375947862,639-63-2461,4667-4258-3817-9636
34,Customer_34,customer34@company.com,555-034-0068,1076.91562841764,0.19787197219153463,4.630525353477577,3,East,Books,Charlie,2024-02-03,9663.88986862327,164-30-1234,4669-5458-6307-9933
35,Customer_35,customer35@company.com,555-035-0070,1829.0179648412757,0.421515527146026,5.0,5,North,Electronics,Charlie,2024-02-04,12236.031309152282,326-22-8480,4779-6738-6668-8697
36,Customer_36,customer36@company.com,555-036-0072,1011.6625400115911,0.3007135217854409,4.2444568682518655,6,West,Books,Diana,2024-02-05,10262.916801562442,148-63-2673,4965-1062-8829-8352
37,Customer_37,customer37@company.com,555-037-0074,1583.545438001902,0.08798859306739143,5.0,3,North,Clothing,Alice,2024-02-06,7180.612460933065,664-53-8982,4304-7915-9326-4644
38,Customer_38,customer38@company.com,555-038-0076,716.1319504480898,0.2649163451815542,3.3719391250710653,4,West,Books,Alice,2024-02-07,10929.961659482164,152-83-4748,4974-9003-4278-8296
39,Customer_39,customer39@company.com,555-039-0078,968.7255804406278,0.19705708281852896,3.1779705363869075,8,South,Books,Bob,2024-02-08,8142.04009135475,201-33-4841,4922-4074-9312-8552
40,Customer_40,customer40@company.com,555-040-0080,1578.7444943476494,0.3181946667836979,4.166671380662029,4,North,Electronics,Alice,2024-02-09,5687.797937250367,948-23-1674,4713-6103-1644-3032
41,Customer_41,customer41@company.com,555-041-0082,1795.3866319981641,0.18659834092538397,4.430439269363585,10,South,Books,Charlie,2024-02-10,12992.014425434356,486-26-4253,4813-3068-1241-3668
42,Customer_42,customer42@company.com,555-042-0084,1568.5473124759883,0.24082108468264807,4.180383151143545,4,South,Books,Charlie,2024-02-11,10914.459749655378,983-33-9931,4402-1802-6059-1195
43,Customer_43,customer43@company.com,555-043-0086,1453.7406870447037,0.2903989823184366,2.9595347399760743,5,West,Home,Charlie,2024-02-12,9843.45867239317,477-69-4923,4239-3330-5841-4606
44,Customer_44,customer44@company.com,555-044-0088,1379.5585217642845,0.31926041553360973,4.146527976292327,10,West,Home,Bob,2024-02-13,9308.780970606602,218-37-3745,4764-9468-1060-4927
45,Customer_45,customer45@company.com,555-045-0090,908.591203853029,0.1539762874355379,3.4173182996970883,3,West,Clothing,Charlie,2024-02-14,12794.159001466633,894-62-6818,4252-3591-9758-7121
46,Customer_46,customer46@company.com,555-046-0092,1212.0623166421165,0.22323990113272413,4.6018035292980235,4,North,Home,Alice,2024-02-15,16174.31030039681,274-43-5063,4276-3854-8024-7972
47,Customer_47,customer47@company.com,555-047-0094,1315.744491616085,0.2120043751071235,4.419958947658109,7,East,Home,Diana,2024-02-16,10897.561037133033,835-34-9224,4236-2029-3594-8206
48,Customer_48,customer48@company.com,555-048-0096,1922.8488904875662,0.19773366139410303,3.636072128203587,5,West,Home,Diana,2024-02-17,7940.730635344247,154-67-3566,4761-3472-1086-7219
